"id","recipe_num","product","ingredient","options","grams","included","weight_description"
1,1,"Fried Capsicum, Paneer, Zucchini, Broccoli","Capsicum",,20,"yes",
2,1,"Fried Capsicum, Paneer, Zucchini, Broccoli","Zucchini Cooked from fresh",,273,"yes",
3,1,"Fried Capsicum, Paneer, Zucchini, Broccoli","Broccoli Cooked from fresh",,286,"yes",
4,1,"Fried Capsicum, Paneer, Zucchini, Broccoli","Paneer",,200,"yes",
5,2,"Raita Kachumbar no Tomato","Tomato",,,"yes",
6,2,"Raita Kachumbar no Tomato","Cucumber Peeled Raw",,292,"yes",
7,2,"Raita Kachumbar no Tomato","Carrots",,37,"yes",
8,2,"Raita Kachumbar no Tomato","Curd",,300,"yes",
9,3,"Fried Capsicum, Paneer, Zucchini, Baby Corn","Capsicum",,212,"yes",
10,3,"Fried Capsicum, Paneer, Zucchini, Baby Corn","Zucchini Cooked from fresh",,273,"yes",
11,3,"Fried Capsicum, Paneer, Zucchini, Baby Corn","Baby Corn",,102,"yes",
12,3,"Fried Capsicum, Paneer, Zucchini, Baby Corn","Paneer",,200,"yes",
13,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Cream Cheese",,230,"yes",
14,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Olive Oil",,9,"yes","2 tsp"
15,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Parsley Fresh",,8,"yes","120 ml"
16,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Garlic",,3,"yes","1 clove"
17,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Lemon Zest",,2,"yes","1 tsp"
18,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Salt",,2,"yes","to taste"
19,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Pepper Black",,2,"yes","to taste"
20,4,"Low Carb Cream Cheese with Herbs (4 Servings)","Celery",,160,"yes","4 stalks"
21,5,"Mint Chicken Curry","Mint Dried",,7.5,"yes",
22,5,"Mint Chicken Curry","Coriander Fresh",,7.5,"yes",
23,5,"Mint Chicken Curry","Curd",,150,"yes",
24,5,"Mint Chicken Curry","Onions",,287,"yes",
25,5,"Mint Chicken Curry","Chilli Green",,5,"yes",
26,5,"Mint Chicken Curry","Tomato",,442,"yes",
27,5,"Mint Chicken Curry","Chicken Breast",,500,"yes",
28,5,"Mint Chicken Curry","Chicken Curry Cut",,1000,"yes",
29,5,"Mint Chicken Curry","Ginger Garlic Paste",,19,"yes",
30,6,"Fried Capsicum, Paneer, Zucchini, Baby Corn, Lime","Capsicum",,371,"yes",
31,6,"Fried Capsicum, Paneer, Zucchini, Baby Corn, Lime","Zucchini Cooked from fresh",,302,"yes",
32,6,"Fried Capsicum, Paneer, Zucchini, Baby Corn, Lime","Baby Corn",,148,"yes",
33,6,"Fried Capsicum, Paneer, Zucchini, Baby Corn, Lime","Paneer",,600,"yes",
34,6,"Fried Capsicum, Paneer, Zucchini, Baby Corn, Lime","Lime Juice",,10,"yes",
35,7,"Raita Kachumbar","Tomato",,468,"yes",
36,7,"Raita Kachumbar","Cucumber Peeled Raw",,470,"yes",
37,7,"Raita Kachumbar","Carrots",,0,"yes",
38,7,"Raita Kachumbar","Curd",,600,"yes",
39,8,"Keto Caesar dressing","Parmesan",,80,"yes","240 ml"
40,8,"Keto Caesar dressing","Olive Oil",,65,"yes","120 ml"
41,8,"Keto Caesar dressing","Dijon Mustard",,15,"yes","1 tbsp"
42,8,"Keto Caesar dressing","Red Wine Vinegar",,5,"yes","1 tsp"
43,8,"Keto Caesar dressing","Garlic",,1.5,"yes","1/2 clove"
44,8,"Keto Caesar dressing","Anchovies",,21,"yes",
45,8,"Keto Caesar dressing","Lemon Juice",,17,"yes","1/2 lemon"
46,8,"Keto Caesar dressing","Pepper Black",,0.3,"yes","a pinch"
47,8,"Keto Caesar dressing","Salt",,3,"yes","1/2 tsp"
48,9,"Millet Curd Rice","Millet Cooked",,696,"yes",
49,9,"Millet Curd Rice","Curd",,169.5,"yes",
50,9,"Millet Curd Rice","Cumin Seeds",,1,"yes",
51,9,"Millet Curd Rice","Mustard Seeds",,1,"yes",
52,9,"Millet Curd Rice","Pepper Black",,1.07,"yes",
53,9,"Millet Curd Rice","Curry Leaves",,1,"yes",
54,9,"Millet Curd Rice","Chilli Red",,45,"yes",
55,9,"Millet Curd Rice","Hing",,0.3,"yes",
56,9,"Millet Curd Rice","Salt",,4,"yes",
57,9,"Millet Curd Rice","Water",,,"yes",
58,10,"Mayonnaise Homemade","Egg Uncooked",,50,"yes","1 egg"
59,10,"Mayonnaise Homemade","Dijon Mustard",,5,"yes","1 tsp"
60,10,"Mayonnaise Homemade","Lemon Juice",,10,"yes","2 tsp"
61,10,"Mayonnaise Homemade","White Wine Vinegar","Can use instead of Lemon Juice",10,"no","2 tsp"
62,10,"Mayonnaise Homemade","Salt",,1.52,"yes","1/4 tsp"
63,10,"Mayonnaise Homemade","Olive Oil",,216,"yes","240 ml"
64,11,"Guacamole","Avocado Hass",,400,"yes","2 avocados"
65,11,"Guacamole","Onions White",,55,"yes","1/2 onion"
66,11,"Guacamole","Lime Juice",,7.5,"yes","1/2 lime"
67,11,"Guacamole","Tomato",,110,"yes","1 tomato"
68,11,"Guacamole","Coriander Fresh",,4,"yes","60 ml"
69,11,"Guacamole","Garlic",,3,"yes","1 clove"
70,11,"Guacamole","Salt",,1.5,"yes","to taste"
71,11,"Guacamole","Pepper Black",,0.3,"yes","to taste"
72,12,"Keto Ranch Dip","Mayonnaise Homemade",,240,"yes","240 ml"
73,12,"Keto Ranch Dip","Sour Cream",,120,"yes","120 ml"
74,12,"Keto Ranch Dip","Ranch Seasoning Urban Platter",,5,"yes","2 tbsp"
75,12,"Keto Ranch Dip","Salt",,1.5,"yes","to taste"
76,13,"Chimichurri Sauce 1","Lemon",,58,"yes","1 lemon"
77,13,"Chimichurri Sauce 1","Capsicum",,70,"yes","1/2 pepper"
78,13,"Chimichurri Sauce 1","Chilli Green",,2,"yes","1 chilli"
79,13,"Chimichurri Sauce 1","Olive Oil",,180,"yes","180 ml"
80,13,"Chimichurri Sauce 1","Parsley Fresh",,8,"yes","120 ml"
81,13,"Chimichurri Sauce 1","Garlic",,6,"yes","2 cloves"
82,13,"Chimichurri Sauce 1","Salt",,1.5,"yes","to taste"
83,13,"Chimichurri Sauce 1","Pepper Black",,1.5,"yes","to taste"
84,14,"Tzatziki Dip","Cucumber Peeled Raw",,170,"yes",
85,14,"Tzatziki Dip","Greek Yoghurt",,180,"yes","240 ml"
86,14,"Tzatziki Dip","Garlic",,2,"yes","2 cloves"
87,14,"Tzatziki Dip","Dill Fresh",,3.75,"yes","1 tbsp"
88,14,"Tzatziki Dip","Parsley Fresh","Can use instead of Dill",3.75,"no","1 tbsp"
89,14,"Tzatziki Dip","Olive Oil",,6.75,"yes","1/2 tbsp"
90,14,"Tzatziki Dip","Salt",,1.5,"yes","to taste"
91,14,"Tzatziki Dip","Pepper Black",,1.5,"yes","to taste"
92,15,"Cowboy Sauce","Butter Salted",,200,"yes",
93,15,"Cowboy Sauce","Green Onions",,15,"yes","1 scallion"
94,15,"Cowboy Sauce","Dijon Mustard",,15,"yes","2 tbsp"
95,15,"Cowboy Sauce","Parsley Fresh",,8,"yes","2 tbsp"
96,15,"Cowboy Sauce","Chives Fresh",,6,"yes","2 tbsp"
97,15,"Cowboy Sauce","Cider Vinegar",,14.94,"yes","1 tbsp"
98,15,"Cowboy Sauce","Horseradish",,15,"yes","1 tbsp"
99,15,"Cowboy Sauce","Thyme Dried",,1,"yes","1 tsp"
100,15,"Cowboy Sauce","Paprika",,2.3,"yes","1 tsp"
101,15,"Cowboy Sauce","Garlic",,6,"yes","2 cloves"
102,15,"Cowboy Sauce","Pepper Black",,1.1,"yes","1/4 tsp"
103,15,"Cowboy Sauce","Cayenne Pepper",,0.3,"yes","a pinch"
104,15,"Cowboy Sauce","Whipping Cream",,28.9,"yes","2 tbsp"
105,16,"Keto Blue Cheese Dressing","Blue Cheese",,140,"yes",
106,16,"Keto Blue Cheese Dressing","Greek Yoghurt",,140,"yes","180 ml"
107,16,"Keto Blue Cheese Dressing","Mayonnaise Homemade",,30,"yes","2 tbsp"
108,16,"Keto Blue Cheese Dressing","Whipping Cream",,60.8,"yes","60 ml"
109,16,"Keto Blue Cheese Dressing","Salt",,1,"yes","to taste"
110,16,"Keto Blue Cheese Dressing","Pepper Black",,1,"yes","to taste"
111,17,"Keto Avocado Hummus","Avocado Hass",,600,"yes","3 avocados"
112,17,"Keto Avocado Hummus","Coriander Fresh",,8,"yes","120 ml"
113,17,"Keto Avocado Hummus","Olive Oil",,108,"yes","120 ml"
