"id","product","alias"
1,"Rice White","White Rice"
2,"Rice Whole Grain","Rice Wholegrain"
3,"Rice Whole Grain","Whole Grain Rice"
4,"Rice Whole Grain","Wholegrain Rice"
5,"Rice Basmati","Basmati Rice"
6,"Rice Brown","Brown Rice"
7,"Rice Brown cooked in unsalted water","Brown Rice cooked in unsalted water"
8,"Rice Lemon","Lemon Rice"
9,"Rice Jeera","Jeera Rice"
10,"Rice Jeera","Rice Cumin"
11,"Rice Jeera","Cumin Rice"
12,"Rice Red","Red Rice"
13,"Rice Idli","Idli Rice"
14,"Cauliflower Rice","Rice Cauliflower"
15,"Ajwain Rice","Rice Ajwain"
16,"Jasmine Rice","Rice Jasmine"
17,"Millet","Millet Raw"
18,"Cape Gooseberries Cooked","Groundcherries Cooked"
19,"Cape Gooseberries Cooked","Poha Cooked"
20,"Cape Gooseberries Dry","Poha"
21,"Cape Gooseberries Dry","Groundcherries Dry"
22,"Cape Gooseberries Dry","Poha Dry"
23,"Pori Upma","Puffed Rice Upma"
24,"Dal Palak","Palak Dal"
25,"Dal Split Yellow Moong","Split Yellow Moong Dal"
26,"Dal Masoor","Masoor Dal"
27,"Dal Masoor","Split Red Lentils"
28,"Dal Green Moong","Green Moong Dal"
29,"Dal Urad","Urad Dal"
30,"Dal Chana","Chana Dal"
31,"Dal Toor","Toor Dal"
32,"Dal Rajma","Rajma Dal"
33,"Dal Rajma","Rajma"
34,"Dal Rajma","Kidney Beans"
35,"Black Eyes Peas","Dal Lobia"
36,"Red Kidney Beans","Lal Lobia"
37,"Black Chickpeas","Dal Kala Chana"
38,"Dal Moong","Moong Dal"
39,"Dal Methi","Methi Dal"
40,"Black Chilka Dal","Urad Chilka Dal"
41,"Black Chilka Dal","Split Black Gram Dal"
42,"Soybeans","SoyaBeans"
43,"Soybeans","Edamame"
44,"Lima Beans Cooked","Butter Beans Cooked"
45,"Moong Bean Sprouts","Moong Sprouts"
46,"Horse Gram","Horsegram"
47,"Cumin Seeds","Jeera"
48,"Cumin Seeds","Cumin Ground"
49,"Cumin Seeds","Ground Cumin"
50,"Cumin Seeds","Cumin Powder"
51,"Flax Seeds","Flax Seeds"
52,"Flax Seeds","Flaxseeds"
53,"Flax Seeds","Flaxseed"
54,"Carom Seeds","Ajwain"
55,"Apple Fuji","Fuji Apple"
56,"Apple Fuji","Fuji"
57,"Apple Pink Lady","Pink Lady Apple"
58,"Apple Pink Lady","Pink Lady"
59,"Apple Red Delicious","Red Delicious Apple"
60,"Apple Red Delicious","Red Delicious"
61,"Apple Royal Gala","Royal Gala Apple"
62,"Apple Royal Gala","Royal Gala"
63,"Apple Royal Gala","Gala"
