"id","name","description"
1,"Alcohol","Alcohol"
2,"Bakery","Bakery"
3,"Bean Products","Bean Products"
4,"Beverages","Beverages"
5,"Breads","Breads"
6,"Breakfast Meals","Breakfast Meals"
7,"Burger King","Burger King"
8,"Burritos","Burritos"
9,"California Burrito","California Burrito"
10,"Cereal","Cereal"
11,"Condiments","Condiments"
12,"Cooking Product","Cooking Product"
13,"Curries","Curries"
14,"Dairy Products","Dairy Products"
15,"Desserts and Sweets","Desserts and Sweets"
16,"Dips and Spreads","Dips and Spreads"
17,"Food Pocket","Food Pocket"
18,"Fruit","Fruit"
19,"Grains","Grains"
20,"Ground","Ground"
21,"Healthy Snacks","Healthy Snacks"
22,"Herbs","Herbs"
23,"HPS","HPS"
24,"IKEA Food Court","IKEA Food Court"
25,"Indian Meals","Indian Meals"
26,"Indian Savoury Snacks","Indian Savoury Snacks"
27,"Indian Sides","Indian Sides"
28,"Instant Meals","Instant Meals"
29,"Juices","Juices"
30,"KFC","KFC"
31,"Kormas","Kormas"
32,"Lunch and Dinner Meals","Lunch and Dinner Meals"
33,"Meals","Meals"
34,"Meat","Meat"
35,"Muffins","Muffins"
36,"Nut Products","Nut Products"
37,"Oils","Oils"
38,"Pasta Noodle Meals","Pasta Noodle Meals"
39,"Pastas","Pastas"
40,"Pharmacy Products","Pharmacy Products"
41,"Pitha or Paniyaram or Dumplings or Momo or Dim Sum or Gyoza","Pitha or Paniyaram or Dumplings or Momo or Dim Sum or Gyoza"
42,"Pizza","Pizza"
43,"Poultry","Poultry"
44,"Preserves","Preserves"
45,"Pulses","Pulses"
46,"Quiches","Quiches"
47,"Rolls and Frankies","Rolls and Frankies"
48,"Salads","Salads"
49,"Samosas","Samosas"
50,"Sandwich Spreads","Sandwich Spreads"
51,"Sandwiches and Burgers","Sandwiches and Burgers"
52,"Savoury Snacks","Savoury Snacks"
53,"Seasoning","Seasoning"
54,"Seeds","Seeds"
55,"Sides","Sides"
56,"Soups","Soups"
57,"Stir Fry Meals","Stir Fry Meals"
58,"Subway","Subway"
59,"Supplements","Supplements"
60,"Swap","Swap"
61,"Sweeteners","Sweeteners"
62,"Taco Bell","Taco Bell"
63,"Theobroma","Theobroma"
64,"Vegetables","Vegetables"
65,"Veggie Meals","Veggie Meals"
66,"Wraps","Wraps"
67,"Yeast","Yeast"
68,"Home Made","Home Made"
